Designator,Mid X,Mid Y,Rotation,Layer
BZ2,100.99802,-47.3329,270.0,top
C1,85.61,-39.07,270.0,top
C12,119.7864,-37.53104,270.0,top
C13,121.36,-37.53,270.0,top
C2,97.56,-36.46,0.0,top
C20,150.5331,-40.85082,270.0,top
C21,151.52624,-40.83056,270.0,top
C22,156.5783,-39.12438,180.0,top
C25,153.75636,-36.45154,90.0,top
C26,153.75636,-39.48176,270.0,top
C27,144.9578,-36.6014,90.0,top
C28,147.87118,-40.21582,180.0,top
C29,106.05262,-49.09312,270.0,top
C3,101.41,-41.85,0.0,top
C30,106.01452,-45.7581,90.0,top
C4,95.97,-44.96,270.0,top
D1,162.13,-41.67,90.0,bottom
D2,162.13,-44.78,90.0,bottom
FB1,108.67136,-48.23206,180.0,top
FB2,108.61548,-46.38294,180.0,top
IC1,88.27,-39.1525,180.0,top
IC2,97.31,-40.37,90.0,top
IC5,113.43,-47.88,180.0,top
J1,92.18,-38.98,0.0,top
J2,30.551047,-55.556966,299.0,top
J3,146.37,-49.17,0.0,top
J5_2,164.07,-42.54,0.0,top
J5,160.89,-43.54,90.0,top
LED1,88.99176,-36.63696,180.0,top
MK1,154.89,-49.62,168.5,top
R1,85.91296,-36.65728,0.0,top
R10,156.5783,-41.15892,0.0,top
R11,118.8339,-45.12056,270.0,top
R12,114.51336,-44.51858,180.0,top
R2,86.36,-41.59,180.0,top
R3,101.45,-39.66,0.0,top
R4,140.64,-38.6,180.0,top
R5,118.17858,-37.55644,90.0,top
R6,117.31498,-45.12056,270.0,top
R9,156.5783,-40.12438,0.0,top
SW1,106.18724,-37.27958,180.0,top
SW2,141.63802,-36.29998,180.0,top
SW3,113.61928,-36.438,0.0,top
U2,151.1725,-37.21,90.0,top
U3,130.9,-42.82,0.0,top
U4,147.52,-37.18,90.0,top
